City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,sisimiut,66.9395,-53.6735,3.74,84,96,4.35,GL,1726434102
312,khovd,48.0056,91.6419,7.1,37,0,3.03,MN,1726434103
313,tucuma,-0.1833,-50.05,28.48,71,69,4.81,BR,1726434104
314,yenifakili,39.2114,35.0004,23.18,33,0,2.86,TR,1726434105
315,gamay,12.3854,125.2979,26.24,84,100,5.33,PH,1726434108
316,chubbuck,42.9208,-112.4661,29.88,18,47,9.39,US,1726434109
317,nagqu,31.5,92.0,2.07,84,86,1.88,CN,1726434110
318,keren,15.7778,38.4581,23.24,74,98,1.4,ER,1726434111
319,arapgir,39.0412,38.4952,21.67,25,44,0.77,TR,1726434112
320,severo-yeniseyskiy,60.3725,93.0408,-3.08,97,36,1.59,RU,1726434113
321,banfora,10.6333,-4.7667,23.62,94,94,2.75,BF,1726434114
322,dongsheng,39.8161,109.9776,12.55,98,100,3.31,CN,1726434115
323,val-d'or,48.1002,-77.7828,27.05,47,75,5.14,CA,1726434116
324,palora,-1.7,-77.9333,29.06,39,71,1.72,EC,1726434118
325,uribia,11.7139,-72.266,35.93,40,0,3.41,CO,1726434119
326,kapuskasing,49.4169,-82.4331,28.05,50,75,7.2,CA,1726434120
327,san luis de la loma,17.2706,-100.8939,30.68,69,89,2.8,MX,1726434121
328,maumere,-8.6199,122.2111,23.82,79,64,1.71,ID,1726434122
329,polyarnyy,69.1989,33.4478,9.25,97,100,4.34,RU,1726434123
330,amursk,50.2261,136.8994,6.74,96,2,2.77,RU,1726434124
331,sinabang,2.4803,96.3801,25.58,83,100,1.42,ID,1726434125
332,tevriz,57.509,72.4042,3.74,83,0,1.96,RU,1726434126
333,chickasha,35.0526,-97.9364,34.09,43,0,6.69,US,1726434127
334,barah,13.7,30.3667,29.88,54,20,6.08,SD,1726434129
335,cody,44.5263,-109.0565,28.12,19,0,2.06,US,1726434130
336,nikologory,56.1413,41.9922,13.92,64,90,2.08,RU,1726434131
337,luganville,-15.5333,167.1667,25.69,88,97,4.22,VU,1726434132
338,mwene-ditu,-7.0,23.45,27.28,23,20,1.6,CD,1726434133
339,guerrero negro,27.9769,-114.0611,23.17,57,0,6.97,MX,1726434134
340,christchurch,-43.5333,172.6333,9.39,92,75,4.92,NZ,1726434001
341,khandyga,62.6667,135.6,-0.46,91,70,1.44,RU,1726434136
342,khabarovsk,48.4808,135.0928,6.89,93,77,2.0,RU,1726433912
343,alo,6.5486,4.2686,24.71,92,90,2.98,NG,1726434138
344,az zulfi,26.2995,44.8154,29.67,12,0,4.43,SA,1726434140
345,rampur,28.8167,79.0333,24.11,89,30,1.92,IN,1726434142
346,mersa matruh,31.3525,27.2453,26.11,65,20,4.12,EG,1726434143
347,barrouallie,13.2333,-61.2667,28.79,79,40,2.57,VC,1726434144
348,mumford,5.2618,-0.759,24.07,90,79,5.86,GH,1726434145
349,east falmouth,41.5784,-70.5586,22.83,56,0,5.36,US,1726434146
350,zouerate,22.7187,-12.4521,37.57,19,23,0.87,MR,1726434147
351,sao jose da coroa grande,-8.8978,-35.1478,24.28,78,5,4.62,BR,1726434148
352,north bend,43.4065,-124.2243,20.14,72,20,8.75,US,1726434150
353,dudinka,69.4058,86.1778,5.51,56,100,6.16,RU,1726434152
354,butembo,0.15,29.2833,15.64,71,91,0.95,CD,1726434021
355,trairi,-3.2778,-39.2689,25.36,81,3,6.55,BR,1726434154
356,fale old settlement,-9.3852,-171.2468,27.95,76,61,4.1,TK,1726434155
357,barquisimeto,10.0739,-69.3228,33.35,35,7,6.69,VE,1726434156
358,aoulef,26.9667,1.0833,35.58,16,0,4.39,DZ,1726434157
359,sampacho,-33.3839,-64.7221,23.38,21,60,6.39,AR,1726434158
360,kaukauna,44.278,-88.272,30.53,50,19,1.79,US,1726434159
361,plettenberg bay,-34.0527,23.3716,14.46,79,58,2.61,ZA,1726434160
362,dhanera,24.5167,72.0167,24.64,76,3,2.56,IN,1726434162
363,skovorodino,53.9833,123.9167,7.45,92,100,2.54,RU,1726434163
